timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT
1643608138,,,3692.0,19.0,20.0
1643608168,,,3720.0,,
1643608198,,,3832.0,20.0,20.0
1643608228,,,3872.0,,
1643608258,,,3848.0,20.0,21.0
1643608288,,,3828.0,,
1643608318,,,3840.0,20.0,20.0
1643608348,,,3844.0,,
1643608378,,,3940.0,21.0,21.0
1643608408,,,3904.0,,
1643608439,,,3880.0,20.0,21.0
1643608468,,,3884.0,,
1643608499,,,3888.0,20.0,21.0
1643608528,,,3972.0,,
1643608558,,,3924.0,20.0,21.0
1643608588,,,3708.0,,
1643608618,,,3676.0,19.0,19.0
1643608648,,,3584.0,,
1643608679,,,3588.0,18.0,19.0
1643608708,,,3604.0,,
1643608739,,,3576.0,18.0,19.0
1643608769,,,3516.0,,
1643608799,,,3524.0,18.0,19.0
1643608800,38008.2,17041.6,,,
1643608829,,,4568.0,,
1643608859,,,3532.0,18.0,19.0
1643608888,,,3540.0,,
1643608919,,,3524.0,18.0,19.0
1643608949,,,3516.0,,
1643608979,,,3616.0,18.0,19.0
1643609009,,,3628.0,,
1643609039,,,3704.0,19.0,19.0
1643609069,,,4768.0,,
1643609099,,,4776.0,24.0,25.0
1643609129,,,3712.0,,
1643609159,,,3668.0,19.0,20.0
1643609189,,,3688.0,,
1643609219,,,3752.0,19.0,20.0
1643609249,,,3740.0,,
1643609279,,,3716.0,19.0,20.0
1643609309,,,3696.0,,
1643609339,,,3668.0,19.0,20.0
1643609369,,,3680.0,,
1643609399,,,3560.0,18.0,19.0
1643609429,,,3596.0,,
1643609459,,,3632.0,19.0,19.0
1643609489,,,3556.0,,
1643609519,,,3540.0,18.0,19.0
1643609549,,,3576.0,,
1643609579,,,3536.0,18.0,19.0
1643609609,,,3572.0,,
1643609640,,,3632.0,19.0,19.0
1643609669,,,3568.0,,
1643609699,,,3548.0,18.0,19.0
1643609730,,,3564.0,,
1643609760,,,3560.0,18.0,19.0
1643609790,,,3564.0,,
1643609820,,,3596.0,19.0,19.0
1643609849,,,3596.0,,
1643609879,,,3592.0,19.0,19.0
1643609909,,,3552.0,,
1643609939,,,3548.0,18.0,19.0
1643609969,,,3572.0,,
1643610000,,,3536.0,18.0,19.0
1643610030,,,3568.0,,
1643610060,,,3668.0,19.0,19.0
1643610090,,,3628.0,,
1643610120,,,3616.0,18.0,19.0
1643610150,,,3592.0,,
1643610180,,,3588.0,18.0,19.0
1643610210,,,3648.0,,
1643610240,,,3620.0,19.0,19.0
1643610270,,,3500.0,,
1643610300,,,3628.0,18.0,20.0
1643610330,,,3580.0,,
1643610360,,,3568.0,18.0,20.0
1643610390,,,3512.0,,
1643610420,,,3648.0,19.0,19.0
1643610450,,,3492.0,,
1643610480,,,3420.0,17.0,19.0
1643610510,,,3272.0,,
1643610540,,,3276.0,16.0,18.0
1643610570,,,3272.0,,
1643610600,38010.0,17041.6,3300.0,16.0,18.0
1643610630,,,3260.0,,
1643610660,,,3224.0,16.0,18.0
1643610690,,,3172.0,,
1643610720,,,3156.0,16.0,17.0
1643610751,,,3008.0,,
1643610780,,,3120.0,16.0,17.0
1643610810,,,3192.0,,
1643610840,,,3164.0,16.0,17.0
1643610871,,,3156.0,,
1643610900,,,3164.0,16.0,18.0
1643610930,,,3156.0,,
1643610961,,,3136.0,16.0,17.0
1643610990,,,3168.0,,
1643611020,,,3188.0,16.0,18.0
1643611050,,,3272.0,,
1643611081,,,3328.0,17.0,19.0
1643611110,,,3312.0,,
1643611141,,,3348.0,17.0,18.0
