timestamp,temperatureSetting,operationMode,operationStatus,airFlow
1646312469,20.0,67.0,49.0,65.0
1646312770,20.0,67.0,49.0,65.0
1646313070,20.0,67.0,49.0,65.0
1646313370,20.0,67.0,49.0,65.0
1646313670,20.0,67.0,49.0,65.0
1646313970,20.0,67.0,49.0,65.0
1646314270,20.0,67.0,49.0,65.0
1646314571,20.0,67.0,49.0,65.0
1646314871,20.0,67.0,49.0,65.0
1646315171,20.0,67.0,49.0,65.0
1646315471,20.0,67.0,49.0,65.0
1646315772,20.0,67.0,49.0,65.0
1646316072,20.0,67.0,49.0,65.0
1646316372,20.0,67.0,49.0,65.0
1646316673,20.0,67.0,49.0,65.0
1646316973,20.0,67.0,49.0,65.0
1646317273,20.0,67.0,49.0,65.0
1646317574,20.0,67.0,49.0,65.0
1646317874,20.0,67.0,49.0,65.0
1646318174,20.0,67.0,49.0,65.0
1646318474,20.0,67.0,49.0,65.0
1646318775,20.0,67.0,49.0,65.0
1646319075,20.0,67.0,49.0,65.0
1646319375,20.0,67.0,49.0,65.0
1646319676,20.0,67.0,49.0,65.0
1646319976,20.0,67.0,49.0,65.0
1646320276,20.0,67.0,49.0,65.0
1646320577,20.0,67.0,49.0,65.0
1646320877,20.0,67.0,49.0,65.0
1646321177,20.0,67.0,49.0,65.0
1646321477,20.0,67.0,49.0,65.0
1646321667,20.0,67.0,49.0,65.0
1646321778,20.0,67.0,49.0,65.0
1646322078,20.0,67.0,49.0,65.0
1646322378,20.0,67.0,49.0,65.0
1646322679,20.0,67.0,49.0,65.0
1646322979,20.0,67.0,49.0,65.0
