timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT,evRemainingChargableCapacity,evRemainingDischargableCapacity,vehicleStatus
1643603794,,,-2064.0,-10.0,-11.0,,,
1643603823,,,-2056.0,,,,,
1643603854,,,-2052.0,-10.0,-11.0,,,
1643603883,,,-2048.0,,,,,
1643603914,,,16.0,3.0,-2.0,,,
1643603944,,,56.0,,,,,
1643603974,,,-540.0,-1.0,-5.0,,,
1643604003,,,-1780.0,,,,,
1643604035,,,-1720.0,-8.0,-9.0,,,
1643604063,,,-1664.0,,,,,
1643604095,,,-1620.0,-8.0,-9.0,,,
1643604123,,,,,,0.0,9200.0,66.0
1643604124,,,-1588.0,,,,,
1643604155,,,-1572.0,-7.0,-9.0,,,
1643604184,,,-1964.0,,,,,
1643604215,,,-2032.0,-10.0,-11.0,,,
1643604244,,,56.0,,,,,
1643604274,,,56.0,3.0,-2.0,,,
1643604303,,,56.0,,,,,
1643604335,,,-2012.0,-9.0,-11.0,,,
1643604363,,,-2008.0,,,,,
1643604394,,,-2012.0,-9.0,-11.0,,,
1643604424,,,-2004.0,,,,,
1643604454,,,-2004.0,-9.0,-11.0,,,
1643604483,,,-2004.0,,,,,
1643604514,,,-2000.0,-9.0,-11.0,,,
1643604543,,,-2000.0,,,,,
1643604574,,,-1996.0,-9.0,-11.0,,,
1643604603,,,-1984.0,,,,,
1643604637,,,-1976.0,-9.0,-11.0,,,
1643604663,,,-1972.0,,,,,
1643604695,,,-1968.0,-9.0,-11.0,,,
1643604723,,,-1968.0,,,0.0,9200.0,66.0
1643604754,,,-1960.0,-9.0,-11.0,,,
1643604783,,,52.0,,,,,
1643604814,,,56.0,3.0,-2.0,,,
1643604844,,,56.0,,,,,
1643604874,,,-1584.0,-8.0,-9.0,,,
1643604903,,,-1340.0,,,,,
1643604935,,,-1456.0,-7.0,-9.0,,,
1643604964,,,-1488.0,,,,,
1643604995,,,-1920.0,-9.0,-10.0,,,
1643605024,,,-1924.0,,,,,
1643605054,,,-1924.0,-9.0,-10.0,,,
1643605084,,,-1920.0,,,,,
1643605115,,,-1880.0,-9.0,-10.0,,,
1643605144,,,56.0,,,,,
1643605174,,,60.0,3.0,-2.0,,,
